title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Cozy 1BHK Studio in Ameerpet","Hyderabad","Ameerpet","1","554","13","25","22","Unfurnished","South-East","Studio","Buy","2577577","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Gachibowli","Hyderabad","Gachibowli","2","892","3","15","25","Unfurnished","South","Apartment","Buy","4300511","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Dilsukhnagar","Hyderabad","Dilsukhnagar","1","1060","3","10","","Furnished","South-East","Studio","Buy","5588028","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Banjara Hills","Hyderabad","Banjara Hills","1","925","19","24","22","Unfurnished","West","Builder Floor","Buy","6979998","true","true","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Apartment in Secunderabad","Hyderabad","Secunderabad","5","1480","","8","7","Unfurnished","North","Apartment","Rent","59043","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Jubilee Hills","Hyderabad","Jubilee Hills","3","1483","2","15","24","Semi-Furnished","West","Apartment","Buy","10600667","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Ameerpet","Hyderabad","Ameerpet","1","984","4","15","8","Semi-Furnished","North","Villa","Buy","5670217","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Miyapur","Hyderabad","Miyapur","2","1306","9","24","20","Furnished","North","Apartment","Buy","5582703","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Secunderabad","Hyderabad","Secunderabad","4","1895","3","16","1","Semi-Furnished","North-East","Independent House","Buy","10497559","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Miyapur","Hyderabad","Miyapur","1","815","","9","2","Semi-Furnished","East","Villa","Rent","9700","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Studio in Hitech City","Hyderabad","Hitech City","5","1668","1","5","4","Unfurnished","North-East","Studio","Rent","66474","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Jubilee Hills","Hyderabad","Jubilee Hills","4","1580","11","15","21","Semi-Furnished","South","Villa","Buy","11648485","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Gachibowli","Hyderabad","Gachibowli","2","876","12","15","11","Furnished","North","Villa","Rent","31789","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Kondapur","Hyderabad","Kondapur","1","958","8","23","16","Furnished","South","Studio","Buy","6149050","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Secunderabad","Hyderabad","Secunderabad","2","853","6","17","21","Unfurnished","North-West","Studio","Buy","3668028","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Begumpet","Hyderabad","Begumpet","1","894","3","17","10","Furnished","South-West","Villa","Buy","6190570","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Kondapur","Hyderabad","Kondapur","3","1529","11","24","19","Furnished","North-East","Builder Floor","Buy","9580936","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Jubilee Hills","Hyderabad","Jubilee Hills","3","1293","2","8","17","Furnished","North-East","Villa","Rent","59078","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Dilsukhnagar","Hyderabad","Dilsukhnagar","3","1302","13","17","12","Semi-Furnished","South-West","Builder Floor","Buy","5837276","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Ameerpet","Hyderabad","Ameerpet","4","1402","16","31","20","Semi-Furnished","East","Independent House","Rent","49064","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in LB Nagar","Hyderabad","LB Nagar","4","1875","17","29","6","Furnished","West","Apartment","Rent","41581","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Studio in Hitech City","Hyderabad","Hitech City","5","1197","15","30","4","Semi-Furnished","East","Studio","Buy","8356962","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Kompally","Hyderabad","Kompally","3","1329","19","21","16","Semi-Furnished","West","Studio","Buy","5990759","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Gachibowli","Hyderabad","Gachibowli","4","1680","20","32","1","Semi-Furnished","South-West","Studio","Rent","62340","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in LB Nagar","Hyderabad","LB Nagar","2","924","8","17","17","Semi-Furnished","North-West","Apartment","Buy","3823948","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in LB Nagar","Hyderabad","LB Nagar","1","1060","12","26","12","Furnished","North-West","Villa","Buy","5255386","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Miyapur","Hyderabad","Miyapur","2","1263","10","14","11","Semi-Furnished","North-East","Builder Floor","Buy","6458127","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","3","1220","10","21","20","Furnished","South","Studio","Buy","9671094","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Kukatpally","Hyderabad","Kukatpally","2","1428","11","22","24","Semi-Furnished","North-East","Villa","Buy","5634213","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Kondapur","Hyderabad","Kondapur","1","626","3","9","9","Furnished","East","Villa","Rent","14661","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Secunderabad","Hyderabad","Secunderabad","2","1164","1","1","5","Unfurnished","South-West","Builder Floor","Buy","6178122","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in Hitech City","Hyderabad","Hitech City","4","1342","13","19","2","Unfurnished","West","Builder Floor","Rent","52670","","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Begumpet","Hyderabad","Begumpet","4","2065","19","26","4","Unfurnished","North-East","Apartment","Buy","13525140","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Secunderabad","Hyderabad","Secunderabad","3","1275","18","24","7","Semi-Furnished","West","Apartment","Buy","7326220","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Secunderabad","Hyderabad","Secunderabad","4","1628","17","26","4","Furnished","North-East","Builder Floor","Rent","51450","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Begumpet","Hyderabad","Begumpet","4","2181","14","14","15","Semi-Furnished","West","Apartment","Buy","12780972","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Kondapur","Hyderabad","Kondapur","2","1411","13","13","12","Furnished","South-East","Villa","Buy","9716460","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Ameerpet","Hyderabad","Ameerpet","3","1536","9","12","3","Furnished","West","Villa","Buy","10896912","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","1345","7","9","","Semi-Furnished","North","Studio","Buy","6536815","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Kompally","Hyderabad","Kompally","2","1457","4","16","6","Semi-Furnished","South-East","Apartment","Buy","7198571","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in LB Nagar","Hyderabad","LB Nagar","1","953","1","7","11","Furnished","West","Builder Floor","Buy","4170753","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Miyapur","Hyderabad","Miyapur","3","1546","5","11","22","Furnished","North-West","Builder Floor","Buy","6879053","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Gachibowli","Hyderabad","Gachibowli","3","1702","4","4","11","Semi-Furnished","North","Studio","Buy","11518936","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Kompally","Hyderabad","Kompally","1","1049","19","30","14","Furnished","North-East","Villa","Buy","5315285","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Kompally","Hyderabad","Kompally","4","1792","1","4","12","Furnished","South-East","Villa","Buy","9340512","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","1318","7","7","12","Unfurnished","North-West","Studio","Buy","5569091","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Kukatpally","Hyderabad","Kukatpally","4","1293","7","11","10","Unfurnished","South-East","Studio","Rent","45315","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Dilsukhnagar","Hyderabad","Dilsukhnagar","2","1115","3","15","22","Furnished","North-East","Villa","Rent","20588","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Apartment in Kondapur","Hyderabad","Kondapur","1","919","","10","16","Furnished","West","Apartment","Buy","5815382","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Begumpet","Hyderabad","Begumpet","4","1710","2","14","16","Unfurnished","North-East","Villa","Rent","53341","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Gachibowli","Hyderabad","Gachibowli","3","1815","12","16","6","Unfurnished","North-West","Apartment","Buy","12745866","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Hitech City","Hyderabad","Hitech City","4","1540","","7","16","Furnished","North-West","Villa","Buy","9492229","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Hitech City","Hyderabad","Hitech City","1","822","7","7","7","Unfurnished","South-East","Builder Floor","Rent","14608","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Miyapur","Hyderabad","Miyapur","2","996","16","29","14","Semi-Furnished","South-West","Builder Floor","Buy","4416920","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Kompally","Hyderabad","Kompally","4","1442","","3","17","Furnished","West","Independent House","Buy","6352023","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Kukatpally","Hyderabad","Kukatpally","3","929","7","9","2","Unfurnished","North-West","Apartment","Rent","35124","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Begumpet","Hyderabad","Begumpet","4","1951","19","20","10","Furnished","West","Studio","Buy","12887857","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Kondapur","Hyderabad","Kondapur","2","1281","17","21","20","Semi-Furnished","South-West","Builder Floor","Rent","28324","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","4","1065","13","26","10","Furnished","South-West","Apartment","Buy","11124047","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","3","1559","4","18","20","Unfurnished","East","Studio","Buy","10512709","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in Uppal","Hyderabad","Uppal","5","1186","5","5","","Furnished","North","Apartment","Buy","6630815","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in LB Nagar","Hyderabad","LB Nagar","1","1001","9","19","9","Furnished","North","Apartment","Rent","10615","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Apartment in Madhapur","Hyderabad","Madhapur","1","952","3","7","12","Furnished","North","Apartment","Buy","6902620","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Kompally","Hyderabad","Kompally","3","1256","2","17","2","Furnished","East","Independent House","Rent","36804","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Gachibowli","Hyderabad","Gachibowli","2","1258","3","6","","Unfurnished","South","Independent House","Buy","8884665","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Miyapur","Hyderabad","Miyapur","2","1126","9","24","23","Semi-Furnished","North-East","Villa","Buy","4604891","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Begumpet","Hyderabad","Begumpet","2","1239","5","7","5","Unfurnished","South-East","Villa","Buy","7662581","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Jubilee Hills","Hyderabad","Jubilee Hills","2","1042","9","21","16","Furnished","North-West","Apartment","Buy","9597935","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Ameerpet","Hyderabad","Ameerpet","2","964","2","17","8","Furnished","South-East","Studio","Buy","5550231","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Hitech City","Hyderabad","Hitech City","3","1099","14","16","20","Furnished","South-West","Villa","Buy","7861726","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Madhapur","Hyderabad","Madhapur","2","823","2","14","17","Unfurnished","North-West","Independent House","Rent","28327","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Ameerpet","Hyderabad","Ameerpet","3","1634","7","17","16","Unfurnished","North","Builder Floor","Buy","7813001","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Gachibowli","Hyderabad","Gachibowli","1","1019","20","30","11","Furnished","North-East","Studio","Rent","15741","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Madhapur","Hyderabad","Madhapur","4","1861","1","2","4","Semi-Furnished","East","Studio","Buy","11837596","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Secunderabad","Hyderabad","Secunderabad","1","997","7","15","3","Furnished","South-West","Villa","Buy","6633299","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Uppal","Hyderabad","Uppal","3","1396","11","25","7","Semi-Furnished","West","Apartment","Buy","6154251","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in LB Nagar","Hyderabad","LB Nagar","3","1595","4","8","16","Furnished","South-East","Independent House","Buy","7371814","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Dilsukhnagar","Hyderabad","Dilsukhnagar","3","1495","20","33","15","Furnished","North-West","Studio","Buy","6208630","true","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Hitech City","Hyderabad","Hitech City","4","1322","8","10","10","Unfurnished","South-East","Studio","Rent","54119","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Uppal","Hyderabad","Uppal","5","1715","1","12","","Furnished","North-West","Builder Floor","Rent","52566","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Kukatpally","Hyderabad","Kukatpally","2","1162","1","11","9","Semi-Furnished","South-East","Independent House","Buy","6484473","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Uppal","Hyderabad","Uppal","4","1494","5","6","19","Semi-Furnished","South-West","Apartment","Rent","36290","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Miyapur","Hyderabad","Miyapur","1","823","9","22","16","Furnished","North-West","Builder Floor","Buy","4006705","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Miyapur","Hyderabad","Miyapur","4","2148","20","23","15","Unfurnished","North","Apartment","Buy","8923830","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Madhapur","Hyderabad","Madhapur","1","643","8","19","6","Unfurnished","South-East","Studio","Buy","3817674","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Miyapur","Hyderabad","Miyapur","4","1741","20","23","5","Unfurnished","West","Apartment","Buy","8595300","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Jubilee Hills","Hyderabad","Jubilee Hills","3","1282","6","20","4","Unfurnished","North-East","Independent House","Buy","10755577","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Ameerpet","Hyderabad","Ameerpet","2","1136","3","16","7","Semi-Furnished","North-East","Apartment","Buy","6852625","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Kukatpally","Hyderabad","Kukatpally","4","1684","11","26","15","Semi-Furnished","West","Builder Floor","Buy","7693399","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Hitech City","Hyderabad","Hitech City","2","924","18","33","3","Semi-Furnished","South","Villa","Buy","7194828","true","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Kukatpally","Hyderabad","Kukatpally","1","858","17","22","22","Furnished","South-West","Villa","Buy","4061312","true","","Amit Patel","+91-9654321098"
